     Eje X     Eje Y     Eje Z
 -0.083938  0.767012 -0.724941
 -0.091937  0.693012 -0.792941
 -0.483938  0.712012 -1.204941
 -0.423937  0.421012 -1.068941
  0.366062  0.259012 -0.602941
  0.131062 -0.006988 -0.766941
 -0.126937 -0.068988 -0.834941
 -0.353938 -0.241988 -0.882941
 -0.477937 -0.337988 -1.068941
 -0.463937 -0.376988 -0.998941
 -0.426937 -0.474988 -0.754941
  0.442062  0.345012 -0.812941
  0.180063  0.229012 -0.487941
 -0.032938  0.338012 -0.631941
 -0.079938  0.239012 -0.940941
 -0.078938  0.239012 -1.081941
  0.074062  0.458012 -1.066941
  0.122062  0.442012 -1.006941
  1.069062  0.964012 -1.002941
  1.099062  0.831012 -0.481941
  0.995062  0.803012 -0.327941
  0.917063  0.800012 -0.464941
  0.919062  0.775012 -0.625941
  0.887062  0.726012 -0.605941
  0.795062  0.620012 -0.581941
  1.270062  1.042012 -0.583941
  1.237062  1.212012 -0.741941
  1.202062  1.252012 -0.964941
  1.248062  1.363012 -1.050941
  1.396062  1.362012 -1.097941
  1.352062  1.279012 -0.919941
  1.291062  1.267012 -0.725941
  1.155063  0.760012 -0.733941
  1.159063  0.641012 -0.603941
  1.183063  0.721012 -0.648941
  1.170063  0.599012 -0.744941
  1.083063  0.721012 -0.911941
  1.212062  0.722012 -1.004941
  1.298062  0.674012 -0.984941
  0.697062  0.756012 -0.996941
  0.714063  0.676012 -0.878941
  0.761063  0.703012 -0.755941
  0.678062  0.492012 -0.716941
  0.610062  0.392012 -0.896941
  0.656062  0.170012 -0.913941
  0.482062  0.979012 -0.743941
  0.369063  0.833012 -0.806941
  0.469063  0.776012 -0.854941
  0.456062  0.591012 -0.705941
  0.705063  0.538012 -0.843941
  0.914063  0.447012 -0.929941
  0.908063  0.330012 -0.676941
 -0.075938  0.241012 -0.771941
 -0.361937  0.105012 -0.784941
 -0.434938 -0.119988 -0.792941
 -0.627937 -0.048988 -0.884941
 -0.582937 -0.021988 -1.093941
 -0.435937 -0.136988 -1.204941
 -0.276938  0.056012 -1.102941
 -0.157937  0.038012 -1.080941
 -0.066937 -0.029988 -1.271941
 -0.088937 -0.055988 -1.177941
